sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3
BRDN0007693772	Camk2n1	905.8499926768756	874.57622930915	917.4681735846243	1078.4734448145912	1035.2349301125264	1093.1178140848194
BRDN0007691083	Camk1d	946.7346185804863	1098.4628098727758	1051.0236672077026	1050.045808707452	1025.3125505906812	1088.2232567083204
BRDN0007691082	Camk1d	951.8451968184377	964.6242754862557	939.6394413007085	804.8574472833769	859.9395585599261	836.9693113813618
BRDN0007691081	Camk1d	1114.106055873393	1173.7084375002203	1033.6033854307793	884.8101738347058	899.6290766473073	998.4897048058351
BRDN0007691080	Camk1d	683.5398393259921	749.9892065161681	705.2574683021048	717.7978117052633	732.6023546962447	757.024874231875
BRDN0007691079	Camk1d	1055.3344061369523	970.7919498819479	951.252962485324	931.0050825088068	854.9783687990034	915.2822294053489
BRDN0007691078	Camk1d	811.3042952747758	733.9532530873685	744.8490177951122	710.6909026784786	732.6023546962447	695.0271474628852
BRDN0007696401	Calcr	758.2820460560306	739.5041600434914	721.0940880993078	772.8763566628454	692.9128366088635	856.5475408873585
BRDN0007696357	Cacna1g	741.0338445029448	804.2647411982592	731.1239473042029	698.2538118816051	661.4919681230201	709.7108195923828
BRDN0007691077	Cabp7	895.628836200973	1034.3189961575772	975.5357795077018	742.6719932990101	732.6023546962447	760.2879124828744
BRDN0007691076	Cabp7	1353.0255884976182	1303.846367249325	1243.7025414070051	1256.1461704842106	1227.0676008682021	1187.7459233638037
BRDN0007691075	Cabp7	1199.7082413590779	1328.5170648320939	1335.5549362307822	1222.388352606983	1349.4436149709609	1331.3196064077802
BRDN0007691074	Cabp7	912.8770377540587	952.9056941344405	969.7290189153941	1195.73744375654	1235.33625046974	1239.9545353797953
BRDN0007691073	Cabp7	610.7140994351855	591.4799745468792	630.2974679286775	684.0399938280356	596.9965012310256	566.1371365484065
BRDN0007691072	Cabp7	735.9232662649935	791.9293924068749	682.0304259328738	671.6029030311622	722.6799751743994	737.4466447258782
BRDN0007696365	Cabp4	778.085536728092	795.6299970442902	787.6078912475601	891.9170828614905	936.0111348940734	915.2822294053489
BRDN0007696458	C87436	1248.2587346196156	1217.4989257096347	1273.7921190216907	1762.5134386426266	1764.529824968156	1850.1426883166944
BRDN0007695235	C2cd5	1363.8855672532648	1339.0021113047706	1343.4732461293838	1471.1301685444505	1506.5479574001781	1435.7368304397628
BRDN0007695234	C2cd5	840.0512978632521	815.3665551105051	851.4822577629454	625.407994357061	724.3337050947069	598.7675190584011
BRDN0007695233	C2cd5	810.0266507152879	733.3364856477992	713.1757782007063	632.5149033838459	679.6829972464031	562.874098297407
BRDN0007695232	C2cd5	1104.523721677234	1046.0375775093923	993.4839486111986	1215.2814435801981	1212.1840315854342	1182.8513659873047
BRDN0007695231	C2cd5	561.5247838949039	505.7493004467581	532.6383125125926	394.43345098655556	395.2414509535045	411.1428196259321
BRDN0007695230	C2cd5	1384.966702484814	1372.9243204810775	1416.3216971965173	1842.4661651939555	1650.422460466935	1659.254950633226
BRDN0007691071	C2	557.0530279366965	619.8512767670633	555.8653548818236	474.3861775378844	549.0383335421067	479.6666228969208
BRDN0007691070	C2	668.846926891882	698.7975090319231	697.8670457300767	806.6341745400731	816.9425806319298	832.0747540048626
BRDN0007691069	C2	881.5747460466067	897.396624573211	1061.0535264125979	1243.7090796873374	1220.452681186972	1266.0588413877908
BRDN0007691068	C2	735.2844439852495	664.8752998556162	671.4726794014051	431.74472337717566	396.895180873812	448.6677595124259
BRDN0007691067	C2	500.19784503948773	476.1444633474357	489.87943906014465	310.92726992183435	370.43550214889126	362.1972458609402
BRDN0007691066	C2	1019.5603584712931	957.8398336509944	1033.6033854307793	1263.2530795109956	1119.5751560482115	1106.1699670888172
BRDN0007691065	C1qtnf6	1087.2755201241482	915.8996477602875	978.7031034671425	1238.3788979172489	1159.2646741355927	1264.4273222622912
BRDN0007691064	C1qtnf6	721.8691761106272	674.1268114491544	710.5363415678391	568.5527221427828	590.3815815497954	582.4523278034038
BRDN0007691063	C1qtnf6	1011.894491114366	981.2769963546245	987.6771880188908	1151.319262339135	1089.8080174826755	1140.4318687243117
BRDN0007691062	C1qtnf6	969.7322206512674	999.7800195417011	988.7329626720376	1222.388352606983	1134.4587253309794	1228.5339015012971
BRDN0007691061	C1qtnf6	980.592199406914	1055.9058565424998	891.0738072559527	909.6843554284525	863.2470184005412	861.4420982638577
BRDN0007691060	C1qtnf6	1299.3645169991291	1128.0676469720984	1234.7284568552568	1339.652351548932	1481.742008595565	1492.8399998322534
BRDN0007691059	Btbd35f5	917.3487937122661	978.8099265963477	957.0597230776317	820.8479925936426	818.5963105522374	794.5498141183688
